district,week,year,cases
Ampara,1,2020,32
Anuradhapura,1,2020,22
Badulla,1,2020,36
Batticaloa,1,2020,210
Colombo,1,2020,577
Galle,1,2020,68
Gampaha,1,2020,284
Hambantota,1,2020,36
Jaffna,1,2020,224
Kalmunai,1,2020,0
Kalutara,1,2020,0
Kandy,1,2020,233
Kegalle,1,2020,42
Kilinochchi,1,2020,9
Kurunegala,1,2020,31
Mannar,1,2020,12
Matale,1,2020,60
Matara,1,2020,35
Monaragala,1,2020,0
Mullaitivu,1,2020,13
Nuwara Eliya,1,2020,11
Polonnaruwa,1,2020,19
Puttalam,1,2020,0
Ratnapura,1,2020,42
Trincomalee,1,2020,192
Vavuniya,1,2020,1
Ampara,2,2020,25
Anuradhapura,2,2020,36
Badulla,2,2020,33
Batticaloa,2,2020,299
Colombo,2,2020,689
Galle,2,2020,144
Gampaha,2,2020,354
Hambantota,2,2020,27
Jaffna,2,2020,277
Kalmunai,2,2020,0
Kalutara,2,2020,0
Kandy,2,2020,207
Kegalle,2,2020,33
Kilinochchi,2,2020,12
Kurunegala,2,2020,64
Mannar,2,2020,17
Matale,2,2020,80
Matara,2,2020,61
Monaragala,2,2020,0
Mullaitivu,2,2020,10
Nuwara Eliya,2,2020,11
Polonnaruwa,2,2020,12
Puttalam,2,2020,0
Ratnapura,2,2020,76
Trincomalee,2,2020,340
Vavuniya,2,2020,1
Ampara,3,2020,37
Anuradhapura,3,2020,32
Badulla,3,2020,74
Batticaloa,3,2020,309
Colombo,3,2020,632
Galle,3,2020,149
Gampaha,3,2020,294
Hambantota,3,2020,59
Jaffna,3,2020,242
Kalmunai,3,2020,0
Kalutara,3,2020,0
Kandy,3,2020,176
Kegalle,3,2020,49
Kilinochchi,3,2020,9
Kurunegala,3,2020,132
Mannar,3,2020,34
Matale,3,2020,61
Matara,3,2020,47
Monaragala,3,2020,0
Mullaitivu,3,2020,4
Nuwara Eliya,3,2020,13
Polonnaruwa,3,2020,24
Puttalam,3,2020,0
Ratnapura,3,2020,87
Trincomalee,3,2020,393
