year,week,district,avg_temp,humidity,precipitation,wind_speed
2020,1,Ampara,27.08,84.24,22.06,14.06
2020,1,Anuradhapura,26.94,83.68,8.13,14.98
2020,1,Badulla,21.84,86.88,19.74,10.9
2020,1,Batticaloa,27.54,83.8,38.4,17.78
2020,1,Colombo,27.5,83.06,145.84,18.18
2020,1,Galle,25.78,78.98,8.83,43.76
2020,1,Gampaha,27.68,83.76,79.45,16.78
2020,1,Hambantota,27.02,88.24,11.4,25.48
2020,1,Jaffna,27.5,83.06,145.84,18.18
2020,1,Kalmunai,27.32,83.94,29.47,16.22
2020,1,Kalutara,26.3,81.58,105.58,30.26
2020,1,Kandy,23.62,83.16,0.35,11.44
2020,1,Kegalle,27.38,82.66,55.96,13.36
2020,1,Kilinochchi,27.5,83.44,3.64,18.42
2020,1,Kurunegala,27.68,81.54,35.5,13.36
2020,1,Mannar,27.56,82.38,1.69,24.78
2020,1,Matale,26.02,78.86,1.29,11.58
2020,1,Matara,26.94,85.72,17.81,34.7
2020,1,Monaragala,23.44,85.26,12.59,14.12
2020,1,Mullaitivu,27.36,83.46,4.3,16.98
2020,1,Nuwara Eliya,19.28,85.36,1.56,12.9
2020,1,Polonnaruwa,26.88,84.4,10.9,13.74
2020,1,Puttalam,27.74,81.44,1.6,19.36
2020,1,Ratnapura,23.76,82.78,43.8,34.48
2020,1,Trincomalee,27.48,83.22,11.6,18.38
2020,1,Vavuniya,27.06,84.96,3.8,14.32
2020,2,Ampara,26.14,80.39,48.58,20.83
2020,2,Anuradhapura,25.5,79.29,0.99,16.41
2020,2,Badulla,20.64,85.06,16.61,13.11
2020,2,Batticaloa,26.8,78.59,18.9,23.97
2020,2,Colombo,27.74,72.37,0,24.31
2020,2,Galle,27.33,78.29,7.3,31.01
2020,2,Gampaha,27.53,73.71,0.02,23.34
2020,2,Hambantota,25.69,81.03,1.8,38.77
2020,2,Jaffna,27.74,72.37,0,24.31
2020,2,Kalmunai,26.5,79.3,38.05,22.93
2020,2,Kalutara,27.64,72.99,0.3,26.87
2020,2,Kandy,22.04,83.14,0.73,11.89
2020,2,Kegalle,26.73,74.54,0.41,22.27
2020,2,Kilinochchi,26.53,73.43,7.55,21.54
2020,2,Kurunegala,26.99,73.89,0.52,22.27
2020,2,Mannar,26.81,72.51,7.71,29.99
2020,2,Matale,24.54,78.59,1.18,14.66
2020,2,Matara,26.26,81.39,3.12,37.26
2020,2,Monaragala,22.47,81.66,26.17,18.63
2020,2,Mullaitivu,26.44,73.63,23.3,19.97
2020,2,Nuwara Eliya,18.2,82.19,1.57,16.94
2020,2,Polonnaruwa,25.57,81.2,11.43,14.6
2020,2,Puttalam,26.61,75.76,0.9,23.6
2020,2,Ratnapura,24.9,81.23,11.4,18.21
2020,2,Trincomalee,26.57,74.67,20.6,20.9
2020,2,Vavuniya,25.63,78.4,23.3,16.19
2020,3,Ampara,26,81.16,50.67,15.27
2020,3,Anuradhapura,25.19,81.94,4.96,13.87
2020,3,Badulla,20.74,84.43,11.33,10.69
2020,3,Batticaloa,26.64,79.1,60.2,17.4
2020,3,Colombo,27.46,74.8,3.46,18.76
2020,3,Galle,27.47,78.06,31.95,28.59
2020,3,Gampaha,27.3,75.36,6.22,18.13
2020,3,Hambantota,26.87,82.09,0.6,26.91
2020,3,Jaffna,27.46,74.8,3.46,18.76
2020,3,Kalmunai,26.36,79.84,56.92,16.53
2020,3,Kalutara,27.41,75.1,15.6,21.81
2020,3,Kandy,22.19,82.46,4.09,9.76
2020,3,Kegalle,26.54,75.51,11.18,16.99
2020,3,Kilinochchi,26.06,78.93,13.23,18.74
2020,3,Kurunegala,26.8,74.84,5.5,16.99
2020,3,Mannar,26.44,76.83,1.67,26.6
2020,3,Matale,24.73,76.66,3.99,11.93
2020,3,Matara,26.91,83.4,28.15,21.63
2020,3,Monaragala,22.47,80.89,14.1,14.44
2020,3,Mullaitivu,25.99,78.49,10.4,17.13
2020,3,Nuwara Eliya,18.34,81.13,6.19,13.7
2020,3,Polonnaruwa,25.33,82.97,17.45,12.89
2020,3,Puttalam,26.46,77.69,2,20.79
2020,3,Ratnapura,24.77,82.24,79.48,16.63
2020,3,Trincomalee,26.24,78.39,10.5,17.26
2020,3,Vavuniya,25.24,82.49,8.1,13.51
2020,4,Ampara,26.46,81.43,44.66,18.41
2020,4,Anuradhapura,25.93,82.5,1.7,17.96
2020,4,Badulla,21.16,86.46,29.62,14.97
2020,4,Batticaloa,27.26,78.63,14.4,22.59
2020,4,Colombo,28.33,75.33,0.64,23.79
2020,4,Galle,27.56,78.39,2,28.16
2020,4,Gampaha,28.23,76.03,2.66,23.41
2020,4,Hambantota,27.29,83.33,18.6,32.81
2020,4,Jaffna,28.33,75.33,0.64,23.79
2020,4,Kalmunai,26.93,79.71,34.64,20.71
2020,4,Kalutara,28.21,75.81,2.13,26.71
